GO Term	Aeropyrum_pernix	Aquifex_aeolicus	Archaeoglobus_fulgidus	Canarchaeum_symbisosum	Escherichia_coli	Haladaptatus_paucihalophilus	Halalkalicoccus_jeotgali	Hyperthermus_butylicus	Methanoccus_jannaschii	Methanococcoides_burtonii	Methanococcoides_methylutens	Methanopyrus_kandleri	Methanosarcina_lacustris	Methanothermus_fervidus	Micrococcus_lueus	Nanohaloarchea_archaeon	Nitrosopumulis_maritimus	Pseudomonas_aeruginosa	Pyrococcus_feriosus	Pyrodicitium_abyssi	Pyrolobus_fumarii	Salmonella_enterica	Staphylococcus_aureus	Sulfolobus_acidocaldarius	Thermocrinis_minerv	Thermocrinus_ruber	Thermotoga_maritima
GO:0043863	0	0	0	0	0	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0014008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0
GO:0014003	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0014001	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005880	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0051402	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0102700	0	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0102701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0
GO:0102705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131
GO:0006290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	793
GO:0005924	0	0	0	5	0	146	36	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005925	0	0	0	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0
GO:0045179	0	0	0	112	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0035545	0	0	0	0	0	0	0	62	0	10	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
GO:1903088	0	0	1	0	0	0	0	0	0	108	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0
GO:1903085	0	0	0	0	145	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
GO:1903084	0	78	0	0	1	0	0	0	0	0	0	0	0	21	0	0	0	18	0	0	0	0	0	0	2	0	0
GO:1903080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	2	0	0	0	0	0	0
GO:0016068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	2	0	0	9	3	0	0
GO:0006744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	113	0	0	0
GO:0005215	27	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0
GO:0052648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	67	0	0	0
GO:0042779	3	0	0	0	0	27	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	61
GO:1990472	0	0	0	0	0	144	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1990473	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0
GO:0098647	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0099117	0	0	22	0	0	0	0	0	0	0	0	0	0	1	134	0	0	0	0	0	0	0	0	0	0	0	0
GO:0099114	0	1	1	0	0	0	0	0	0	125	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
GO:0099115	0	41	0	0	43	0	0	0	0	4	0	0	0	0	14	0	0	112	0	0	0	0	0	0	0	0	0
GO:0042921	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0
GO:0050338	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0046324	0	0	145	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
GO:0033106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007	0	0	0	0	0	0	0	0	0	0	0	0
GO:0050155	0	71	0	0	0	0	0	0	0	51	0	0	0	0	0	26	0	107	0	0	0	0	0	0	0	0	0
GO:0050154	0	0	0	0	70	0	0	0	0	0	0	0	0	0	1	0	0	749	0	0	0	0	0	92	0	0	0
GO:0050157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	824	49	0	0
GO:0050156	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	136	0	0	0	540	0	0
GO:0005884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	1	0	0	0	0	0	0	0
GO:0005886	115	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
GO:0007019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0
GO:1903138	0	0	0	0	0	111	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GO:1903131	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0
GO:1903135	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0
GO:1903137	0	0	0	84	0	0	0	0	9	14	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
GO:0010264	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	2	1	0	0	0	5	0	0
GO:0010269	0	0	4	0	0	0	0	0	0	0	0	0	0	0	150	0	0	27	0	0	0	0	0	103	0	0	0
GO:0010268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	17	0	0	24	73	0	0
GO:0090683	0	83	0	0	5	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
GO:0090682	0	18	0	0	0	0	0	0	0	79	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
GO:0031789	0	0	0	0	0	0	0	0	0	0	0	0	14	3	40	0	0	0	0	0	0	0	1	54	34	0	0
GO:0031788	0	0	0	8	0	0	0	0	0	0	0	1	4	1	20	0	0	0	0	0	16	0	1	37	22	1	0
GO:0031780	0	41	0	0	0	0	0	0	0	42	0	0	0	0	0	18	0	2	0	0	5	0	0	0	0	0	0
GO:0039548	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	95
GO:1900431	0	0	0	16	0	0	0	50	0	0	0	0	33	0	0	0	0	0	0	0	0	0	7	0	0	0	0
GO:0030197	0	30	0	0	9	0	0	0	0	59	0	3	0	0	0	0	0	0	0	0	1	0	0	0	38	0	0
GO:1904397	0	44	0	0	10	0	0	0	0	5	0	0	0	0	27	26	0	0	0	0	0	0	0	39	3	0	0
GO:0030196	0	3	0	0	1	0	0	0	0	15	0	0	0	0	27	34	0	0	0	0	0	0	0	57	17	0	0
GO:0043963	0	0	0	15	0	0	0	10	0	0	0	0	0	0	63	0	4	0	0	0	0	2	0	26	0	0	0
GO:0008701	0	8	0	0	2	134	19	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
GO:0043910	0	0	0	0	0	0	0	0	31	2	0	0	0	15	0	6	0	59	0	0	0	0	0	1	0	0	2
GO:0008705	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0008704	0	0	0	0	2	0	0	41	0	0	1	1	69	0	0	0	0	0	0	0	0	0	15	0	43	0	0
GO:0050229	0	0	0	0	0	104	16	0	0	1	0	0	0	0	3	0	0	16	0	0	0	0	0	0	0	0	0
GO:0009131	0	0	0	0	0	0	0	0	0	0	0	0	61	26	0	0	0	0	0	0	0	23	0	0	0	0	0
GO:0009130	0	0	12	0	0	0	0	72	12	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
GO:0050221	0	0	0	88	0	43	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
GO:2001298	0	0	0	0	0	0	0	0	0	78	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	1
GO:0043406	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	5	0	0	0	0	319	0	0	0	0	0
GO:0043403	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0043402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0
GO:0043401	0	0	63	0	0	546	107	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0043400	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016496	0	0	0	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016497	0	0	0	0	112	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	200	0	0
GO:0016495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0
GO:0016493	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	126	0	0	0	0	0	0
GO:0016491	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0
GO:2001146	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0071078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0
GO:0021671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0
GO:0060519	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	206	0	0	0	0	0	0	0	0	0	0
GO:0042815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290
GO:0033810	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	2	0	0	0	0	0	9	0	20	0	1	60
GO:0005366	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	111	0	8	0	0	0
GO:0004018	2	0	0	7	53	8	0	4	0	109	2	0	0	0	7	0	7	94	0	0	0	0	1	0	0	0	0
GO:1990623	0	6	16	7	0	8	1	4	0	0	2	0	0	0	0	3	0	1	0	0	0	2	1	126	0	0	0
GO:0051289	0	6	2	0	0	0	1	0	3	0	0	0	0	30	0	3	0	0	4	0	53	3	0	9	0	0	0
GO:0051286	0	0	0	0	0	0	0	1	7	0	0	11	0	3	0	0	0	3	4	0	4	3	0	0	83	0	0
GO:0051287	39	1	0	0	0	0	0	0	3	0	0	1	10	0	129	0	0	0	0	0	0	0	0	4	6	0	0
GO:0004013	3	0	0	119	2	139	0	79	0	13	43	0	6	0	2	0	0	0	1	0	0	0	19	0	0	0	0
GO:0051285	0	99	0	0	2	0	28	0	0	8	2	0	0	0	0	56	2	0	0	0	0	0	0	0	3	3	0
GO:0044048	0	0	0	0	45	0	0	0	12	45	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0047223	0	14	0	7	0	55	0	5	0	0	0	0	0	0	0	22	0	0	0	0	0	0	8	0	0	0	0
GO:0044592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113
GO:0006099	13	41	1	0	0	48	0	0	0	0	0	0	0	14	0	19	0	16	0	0	0	0	0	50	0	1	0
GO:0006098	3	0	0	40	0	0	7	0	0	0	0	0	0	2	71	0	0	0	0	0	0	0	0	29	32	0	0
GO:0005853	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0
GO:0005971	0	0	7	0	84	0	0	0	0	125	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GO:0005975	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0
GO:0005850	0	0	0	0	0	0	0	0	48	0	58	0	92	15	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0005977	0	0	0	0	1	0	0	0	0	3	0	9	0	0	4	0	0	0	0	0	0	0	0	135	0	0	0
GO:0005976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	1	0	0	39	5	0	0	0	0	0
GO:0005979	0	86	0	0	3	1	0	0	2	7	0	0	2	1	0	74	0	0	0	0	0	0	0	1	68	0	0
GO:0005978	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	5	63	0	0	0	1	3	0	0	0
GO:0005851	0	1	0	1	0	0	0	70	3	0	1	0	3	0	2	0	0	0	0	0	0	0	23	0	0	0	0
GO:0080024	0	2	0	133	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	37	0
GO:0006777	19	0	0	0	1	0	0	0	31	1	0	0	19	0	0	0	0	29	0	0	0	0	0	0	0	0	0
GO:0006771	0	43	0	0	5	0	0	0	0	43	1	0	0	0	34	12	0	0	0	0	28	0	0	0	0	0	0
GO:0006779	4	0	0	0	0	0	0	39	11	0	0	0	34	0	2	1	0	9	35	0	2	0	8	0	0	0	0
GO:0060679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	125	0	0	0	0	0	0	0	0	0
GO:0033534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	14	0	0
GO:0046721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121
GO:0009307	2	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	52	0	0	0	0	0	44	0	0	0
GO:0098596	0	0	0	0	0	0	0	0	0	0	6	0	0	0	74	0	0	5	0	0	0	0	0	23	23	0	0
GO:0075015	0	72	0	0	0	0	0	0	0	74	0	0	50	0	0	38	0	0	0	0	0	0	0	0	0	0	0
GO:0075016	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
GO:0006267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	71	0	0	0	0	0	37	0	0	0
GO:0006260	32	0	0	0	12	0	0	0	0	0	36	0	0	3	0	0	0	10	0	2	19	83	0	0	0	0	0
GO:0006261	1	28	0	0	0	0	0	0	0	36	10	8	25	0	0	19	0	0	0	0	0	12	0	0	54	0	0
GO:0006187	0	0	0	0	0	0	0	0	19	0	0	1	0	0	100	0	0	8	0	0	0	8	0	90	9	0	0
GO:0006268	2	0	0	0	51	47	0	0	0	0	4	0	0	0	16	0	0	7	0	0	44	9	6	18	0	0	0
GO:0006269	0	64	0	0	7	0	6	0	0	98	0	2	67	0	0	54	0	0	23	0	1	0	0	0	5	0	0
GO:0005795	0	13	0	0	5	0	0	28	40	28	0	0	20	0	10	14	0	0	0	0	0	0	0	11	3	0	0
GO:0005794	0	7	0	0	5	130	0	0	7	13	0	0	10	0	11	8	0	0	0	0	6	0	23	6	0	0	0
GO:0005797	0	4	0	41	0	35	19	0	4	2	0	0	0	0	0	0	0	0	55	0	0	0	3	0	0	14	0
GO:0005790	0	0	0	107	0	0	0	9	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	32	0
GO:0030058	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0
GO:0000160	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	85
GO:0052393	0	0	0	0	0	0	0	0	0	0	3	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
GO:0089712	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0089715	0	156	0	0	21	0	0	0	122	189	0	0	0	0	0	90	0	0	0	0	0	0	0	1	0	0	0
GO:0089717	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
GO:0048752	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
GO:0005161	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000105	12	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	9	0	0	0	6	0	12	52	0	0
GO:0000104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	32	0	83	0	0	0
GO:0061809	0	10	0	0	4	0	0	0	7	12	0	0	46	0	11	6	0	0	0	79	6	0	0	0	0	0	0
GO:0000100	0	62	0	0	18	0	0	0	43	69	0	0	3	0	0	34	0	0	4	0	0	0	2	0	0	0	0
GO:0010413	0	3	0	0	6	88	2	0	3	2	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	5	0
GO:0009423	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	21	0	0	40	24	0	0
GO:0009425	0	1	0	0	1	42	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	11	0	32	18	1	0
GO:0008483	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	44	26	0	0
GO:0008481	0	0	0	0	0	0	0	0	20	59	8	0	0	0	52	0	0	0	0	0	0	20	0	0	0	0	0
GO:0008488	0	0	0	0	0	85	0	0	0	0	0	0	13	0	0	0	0	0	42	0	0	0	0	0	0	0	0
GO:0045401	0	0	0	0	9	0	20	46	0	1	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	17	0
GO:0035513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182
GO:1901450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	67	0	0	0
GO:0048039	0	0	0	0	0	0	0	0	0	61	4	1	0	1	0	0	0	22	30	0	0	0	0	44	0	0	0
GO:0006978	0	36	2	0	10	90	0	0	0	0	0	0	0	0	1	3	0	26	0	0	0	1	2	0	3	20	0
GO:0043982	0	0	0	0	0	0	15	0	25	0	0	0	49	0	0	10	0	0	0	0	0	0	0	0	33	0	0
GO:0004197	0	4	0	0	1	7	0	0	0	17	0	1	0	0	35	0	0	8	12	0	0	30	1	53	0	2	0
GO:0043983	0	48	0	0	11	23	1	0	2	16	0	0	3	0	0	0	0	0	1	0	0	0	0	7	0	17	0
GO:0004872	0	0	26	0	0	0	0	0	0	0	0	0	0	21	50	0	0	0	0	0	6	0	0	0	4	0	0
GO:0050663	0	0	0	0	0	0	0	0	0	0	44	8	0	0	35	0	0	133	0	0	3	48	0	0	0	0	0
GO:0050662	3	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	6	0	32	50	0	0	9	3	0
GO:0050661	24	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	40	0	0	18	57	3	0
GO:0050660	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	76	0	0
GO:0050667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	135	1	0	0
GO:0050665	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1	0	0	0	40	0	0	70	0	0	0	7	0
GO:0050664	0	5	0	0	10	0	3	0	3	11	0	0	0	0	0	0	0	0	50	0	0	149	0	0	0	34	0
GO:0050668	0	0	9	0	0	42	0	6	0	0	0	0	0	0	0	35	0	0	0	0	0	0	10	0	0	0	0
GO:0019939	0	0	0	12	0	93	6	0	0	24	0	0	0	14	0	56	0	0	0	0	0	1	17	0	0	0	7
GO:0034611	0	10	0	0	17	142	13	0	9	72	0	0	15	0	0	0	0	0	0	0	0	0	19	0	0	0	0
GO:0005690	0	70	0	0	33	0	31	0	44	108	0	3	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005691	0	93	0	0	58	0	0	4	60	0	12	0	69	0	0	0	0	18	0	0	0	0	0	0	0	0	0
GO:0005692	0	2	0	26	0	0	0	46	1	0	0	0	0	0	25	0	0	0	0	0	15	0	0	0	0	0	0
GO:0005693	0	0	0	80	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005694	12	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	27	0	0
GO:0035942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106
GO:0033829	0	0	0	0	33	71	11	4	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0031364	0	0	0	0	0	94	6	0	0	0	0	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0
GO:0046037	0	0	0	0	24	0	0	0	24	60	0	0	38	0	0	0	0	0	0	0	0	0	10	0	0	0	11
GO:1900533	0	3	0	0	14	8	1	0	28	63	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004028	0	44	0	6	0	111	18	1	11	2	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	4
GO:0044543	0	0	65	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	1	0	0	0	0	0	0
GO:0044542	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0
GO:0044541	0	0	0	0	0	0	0	0	0	0	130	0	0	0	253	0	0	162	0	0	0	0	0	0	0	0	0
GO:0044540	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	0	0
GO:0006412	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	304	0	0
GO:0043599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0
GO:1904600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0
GO:0031898	0	0	0	0	25	31	4	0	0	25	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1902039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0
GO:0035890	0	0	1	2	8	39	8	0	0	20	0	0	15	2	0	0	0	0	13	0	0	12	0	30	0	0	0
GO:0051469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	174	0	0	0
GO:0015851	0	123	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0097536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	172
GO:0034144	0	0	0	0	0	0	0	0	0	0	16	9	0	24	0	0	0	1	0	0	0	0	0	83	0	0	0
GO:0019714	0	66	0	0	1	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0034143	0	0	0	66	19	0	0	7	0	16	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
GO:0061192	0	0	8	0	0	0	0	0	0	0	10	5	0	12	0	0	0	25	0	0	20	0	0	43	0	0	1
GO:0009229	13	0	1	0	0	0	0	0	0	0	16	7	0	15	25	0	0	2	0	0	3	0	0	59	0	0	1
GO:0009597	0	0	0	0	0	0	0	27	31	0	0	0	30	0	0	15	0	0	0	0	0	3	0	0	0	0	0
GO:0009595	0	0	0	0	13	0	0	32	2	32	0	0	3	0	0	21	0	0	0	0	0	0	0	0	0	0	0
GO:0032215	0	34	0	0	17	39	0	3	0	45	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GO:0009593	0	45	0	0	1	54	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019841	0	0	0	0	0	0	0	0	0	0	0	31	0	60	0	0	0	88	0	0	123	0	0	0	0	0	0
GO:0019842	0	0	0	0	0	0	0	0	0	0	51	0	0	0	142	0	0	3	0	0	0	0	0	258	0	0	0
GO:0019843	97	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0
GO:0019825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0
GO:0060001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	154	0	0	0	0	0	1	0	0
GO:0034042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0
GO:0008509	0	0	0	0	0	0	0	0	125	0	0	0	113	0	0	0	0	0	0	0	0	0	2	0	0	0	0
GO:0003435	0	0	0	0	0	0	0	182	1	0	0	0	1	0	0	89	0	0	0	0	0	0	0	0	0	0	0
GO:0032800	0	0	0	0	52	224	0	0	0	175	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GO:0052009	0	193	0	0	2	4	25	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GO:0006446	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1900113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229
GO:0032391	0	0	0	0	4	50	8	45	17	0	0	0	26	0	0	0	0	0	0	0	0	0	6	0	0	0	0
GO:0003213	0	0	0	0	0	44	5	51	14	0	0	0	18	0	0	0	0	0	0	3	0	0	4	0	0	0	0
GO:0008084	0	0	0	0	0	0	0	0	0	0	0	4	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	73	0	0	0	0	0	24	0	0	0
GO:0070753	0	0	0	0	36	124	23	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
GO:0000049	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	130	0	0	1
GO:0000040	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	77	0	0	0	0	0	80	0	0
GO:0015294	0	0	0	0	36	123	15	94	64	0	0	0	68	0	0	0	0	0	0	0	0	0	20	0	0	0	0
GO:0018078	0	100	0	0	0	0	0	0	0	97	0	0	0	0	0	53	0	0	0	0	0	1	0	0	0	0	0
GO:1904040	0	3	0	106	0	0	0	0	0	4	0	0	0	0	26	2	0	0	0	0	0	0	0	0	0	0	0
GO:0030632	0	0	0	0	7	33	6	13	7	0	12	0	21	0	0	0	0	0	0	0	21	0	3	0	0	0	0
GO:1904043	0	12	0	0	0	0	0	0	0	24	0	0	0	0	0	16	0	0	27	0	0	0	0	0	27	0	0
GO:0102586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118
GO:1902612	0	0	2	0	0	0	0	0	31	0	0	0	40	0	0	0	0	0	0	0	0	89	0	0	0	0	0
