GO Term	Aeropyrum_pernix	Aquifex_aeolicus	Archaeoglobus_fulgidus	Canarchaeum_symbisosum	Escherichia_coli	Haladaptatus_paucihalophilus	Halalkalicoccus_jeotgali	Hyperthermus_butylicus	Methanoccus_jannaschii	Methanococcoides_burtonii	Methanococcoides_methylutens	Methanopyrus_kandleri	Methanosarcina_lacustris	Methanothermus_fervidus	Micrococcus_lueus	Nanohaloarchea_archaeon	Nitrosopumulis_maritimus	Pseudomonas_aeruginosa	Pyrococcus_feriosus	Pyrodicitium_abyssi	Pyrolobus_fumarii	Salmonella_enterica	Staphylococcus_aureus	Sulfolobus_acidocaldarius	Thermocrinis_minerv	Thermocrinus_ruber	Thermotoga_maritima
GO:0052196	0	0	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	352	0	0	0	0	0	0	0
GO:0099585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	991	0	0	0	2	0	0	0	0	0
GO:0001410	0	0	0	0	0	0	0	0	3	0	0	0	0	351	0	0	0	98	0	0	0	0	2	0	0	0	0
GO:0001411	0	0	201	0	9	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0099581	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	913	0	0
GO:0099580	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	1507	127	0	0
GO:0099583	0	0	0	11	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	688	0	0	197	0	0	0
GO:0099582	0	0	0	0	0	0	0	0	0	11	0	25	0	0	1351	0	0	0	0	0	81	0	0	0	0	0	0
GO:0005528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005524	514	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005525	66	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0102944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905	0	0	0	0	0	0	0	0
GO:0102945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0
GO:0086010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531	0
GO:0033905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	0	0	2
GO:0098847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1325
GO:0098846	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178
GO:1900833	0	6	0	79	0	0	0	0	7	0	0	0	5	0	0	7	0	0	0	0	0	0	0	0	0	0	0
GO:0035681	0	9	0	7	68	0	0	0	0	7	0	0	0	1	0	4	0	0	0	0	0	0	0	6	0	0	0
